txn_id,account_id,timestamp,amount,currency,channel,mcc,merchant,country,state,description,label_fraud
T003396,A100038,2024-01-02T02:09:00,141.43,USD,POS,7011,UBER*TRIP,US,BC,UBER*TRIP BC POS *REF 60216,0
T003977,A100158,2024-01-02T03:37:00,230.33,USD,ATM,6011,GROCERYMART,US,NY,GROCERYMART NY ATM *REF 71102,0
T000027,A100295,2024-01-02T03:54:00,353.04,USD,ECOM,5732,ELECTROHUB,CA,ON,ELECTROHUB ON ECOM *REF 64139,1
T003879,A100210,2024-01-02T04:31:00,58.77,USD,ECOM,5732,GENSTORE,US,NY,GENSTORE NY ECOM *REF 59047,0
T001817,A100045,2024-01-02T06:11:00,63.37,USD,POS,5732,ATM*WITHDRAW,CA,CA,ATM*WITHDRAW CA POS *REF 60456,0
T004617,A100119,2024-01-02T07:39:00,49.18,USD,POS,5732,SHIP*FREIGHT,US,ON,SHIP*FREIGHT ON POS *REF 48747,0
T000577,A100118,2024-01-02T07:44:00,58.84,USD,POS,5812,UBER*TRIP,US,NJ,UBER*TRIP NJ POS *REF 94032,0
T003029,A100080,2024-01-02T08:00:00,124.65,USD,ECOM,7011,LIQUORHUT,US,BC,LIQUORHUT BC ECOM *REF 33034,0
T000009,A100138,2024-01-02T08:25:00,117.81,USD,POS,5732,HOTELINN,US,BC,HOTELINN BC POS *REF 72989,0
T004273,A100157,2024-01-02T11:02:00,77.88,USD,POS,7011,SHIP*FREIGHT,US,CA,SHIP*FREIGHT CA POS *REF 46653,0
T001911,A100051,2024-01-02T11:09:00,83.04,USD,ECOM,4111,GENSTORE,US,ON,GENSTORE ON ECOM *REF 50710,0
T001369,A100231,2024-01-02T12:44:00,141.15,USD,ECOM,6011,CAFEBEAN,US,NJ,CAFEBEAN NJ ECOM *REF 75838,0
T004217,A100221,2024-01-02T12:45:00,81.17,USD,ECOM,6011,GENSTORE,US,ON,GENSTORE ON ECOM *REF 66541,0
T001162,A100143,2024-01-02T13:38:00,114.27,USD,P2P,5999,LUXSTORE,US,NJ,LUXSTORE NJ P2P *REF 71501,1
T001340,A100132,2024-01-02T14:24:00,225.26,USD,ECOM,4829,CRYPTO*EXCHANGE,US,QC,CRYPTO*EXCHANGE QC ECOM *REF 42572,1
T000914,A100102,2024-01-02T14:36:00,63.56,USD,P2P,6011,LIQUORHUT,US,NJ,LIQUORHUT NJ P2P *REF 48227,0
T002869,A100136,2024-01-02T14:56:00,16.23,USD,POS,4111,GROCERYMART,CA,BC,GROCERYMART BC POS *REF 15158,0
T002014,A100289,2024-01-02T15:25:00,36.73,USD,ATM,5999,GENSTORE,US,NJ,GENSTORE NJ ATM *REF 99477,0
T001284,A100034,2024-01-02T17:56:00,73.14,USD,POS,4111,GROCERYMART,US,NJ,GROCERYMART NJ POS *REF 17514,0
T004150,A100080,2024-01-02T18:56:00,46.51,USD,ECOM,7011,CAFEBEAN,US,BC,CAFEBEAN BC ECOM *REF 42395,0
T002164,A100187,2024-01-02T19:00:00,60.07,USD,POS,4789,HOTELINN,US,ON,HOTELINN ON POS *REF 76183,0
T001826,A100258,2024-01-02T22:43:00,3.89,USD,POS,4789,LIQUORHUT,US,ON,LIQUORHUT ON POS *REF 49960,0
T002006,A100231,2024-01-02T23:05:00,90.11,USD,ECOM,5732,HOTELINN,US,NJ,HOTELINN NJ ECOM *REF 43039,0
T001615,A100270,2024-01-02T23:35:00,54.95,USD,P2P,6011,CAFEBEAN,US,TX,CAFEBEAN TX P2P *REF 79337,0
T002373,A100070,2024-01-03T01:23:00,72.06,USD,ATM,7011,SHIP*FREIGHT,US,QC,SHIP*FREIGHT QC ATM *REF 93967,0
T003331,A100231,2024-01-03T01:52:00,49.71,USD,POS,5921,GROCERYMART,US,NJ,GROCERYMART NJ POS *REF 23007,0
T001229,A100064,2024-01-03T02:39:00,88.33,USD,POS,5921,ELECTROHUB,US,ON,ELECTROHUB ON POS *REF 91388,0
T001908,A100017,2024-01-03T03:15:00,63.03,USD,POS,6011,LIQUORHUT,US,NJ,LIQUORHUT NJ POS *REF 89057,0
T003572,A100248,2024-01-03T03:26:00,92.23,USD,POS,6011,ELECTROHUB,US,BC,ELECTROHUB BC POS *REF 12303,0
T002017,A100124,2024-01-03T04:32:00,9.3,USD,POS,5999,CAFEBEAN,US,BC,CAFEBEAN BC POS *REF 37136,0
T001983,A100179,2024-01-03T05:55:00,11.81,USD,POS,5812,CAFEBEAN,US,BC,CAFEBEAN BC POS *REF 36038,0
T002626,A100112,2024-01-03T07:14:00,84.83,USD,P2P,5921,GENSTORE,US,BC,GENSTORE BC P2P *REF 12770,0
T002732,A100222,2024-01-03T08:02:00,118.16,USD,POS,5812,CAFEBEAN,US,NY,CAFEBEAN NY POS *REF 68614,0
T004714,A100133,2024-01-03T09:31:00,50.03,USD,ECOM,5921,GROCERYMART,US,BC,GROCERYMART BC ECOM *REF 77203,0
T000970,A100006,2024-01-03T11:41:00,55.14,USD,POS,4111,GENSTORE,US,CA,GENSTORE CA POS *REF 99198,0
T000190,A100065,2024-01-03T13:01:00,46.31,USD,ATM,4111,GENSTORE,US,ON,GENSTORE ON ATM *REF 78350,0
T003155,A100096,2024-01-03T13:33:00,21.04,USD,POS,5732,UBER*TRIP,US,BC,UBER*TRIP BC POS *REF 73316,0
T003358,A100026,2024-01-03T13:43:00,99.62,USD,ECOM,7011,ELECTROHUB,US,CA,ELECTROHUB CA ECOM *REF 63497,0
T003880,A100013,2024-01-03T15:12:00,46.8,USD,ECOM,6011,HOTELINN,CA,CA,HOTELINN CA ECOM *REF 77239,0
T003048,A100222,2024-01-03T15:21:00,98.34,USD,ECOM,7011,LIQUORHUT,US,NY,LIQUORHUT NY ECOM *REF 77631,0
T001477,A100192,2024-01-03T16:20:00,99.93,USD,POS,4829,ELECTROHUB,US,BC,ELECTROHUB BC POS *REF 55629,1
T001031,A100210,2024-01-03T16:41:00,138.67,USD,ECOM,6011,UBER*TRIP,US,NY,UBER*TRIP NY ECOM *REF 62438,0
T002353,A100290,2024-01-03T17:27:00,62.2,USD,ATM,7011,SHIP*FREIGHT,CA,NY,SHIP*FREIGHT NY ATM *REF 72310,0
T003825,A100164,2024-01-03T17:43:00,45.79,USD,ECOM,5921,LIQUORHUT,US,CA,LIQUORHUT CA ECOM *REF 52916,0
T002427,A100151,2024-01-03T18:35:00,113.24,USD,ECOM,5999,GROCERYMART,CA,NJ,GROCERYMART NJ ECOM *REF 11266,0
T003071,A100254,2024-01-03T20:18:00,58.84,USD,POS,7011,SHIP*FREIGHT,US,CA,SHIP*FREIGHT CA POS *REF 75874,0
T001454,A100221,2024-01-03T20:30:00,7.38,USD,POS,7011,CAFEBEAN,US,ON,CAFEBEAN ON POS *REF 97992,0
T004278,A100209,2024-01-03T22:41:00,76.4,USD,ECOM,5999,HOTELINN,US,QC,HOTELINN QC ECOM *REF 28635,0
T002853,A100296,2024-01-03T23:50:00,437.25,USD,POS,4829,CRYPTO*EXCHANGE,CA,TX,CRYPTO*EXCHANGE TX POS *REF 71438,1
T004115,A100246,2024-01-04T00:06:00,101.17,USD,POS,4111,HOTELINN,US,NJ,HOTELINN NJ POS *REF 95776,0
T000665,A100279,2024-01-04T00:32:00,22.2,USD,POS,5732,HOTELINN,CA,ON,HOTELINN ON POS *REF 16749,0
T003844,A100210,2024-01-04T00:34:00,58.58,USD,POS,5921,ATM*WITHDRAW,US,NY,ATM*WITHDRAW NY POS *REF 96119,0
T002610,A100206,2024-01-04T00:46:00,45.06,USD,ECOM,5411,CAFEBEAN,US,TX,CAFEBEAN TX ECOM *REF 82267,0
T000737,A100110,2024-01-04T01:32:00,548.61,USD,ECOM,4829,CRYPTO*EXCHANGE,US,ON,CRYPTO*EXCHANGE ON ECOM *REF 14886,1
T003623,A100196,2024-01-04T02:27:00,78.63,USD,POS,7011,ELECTROHUB,US,QC,ELECTROHUB QC POS *REF 94137,0
T003980,A100130,2024-01-04T02:43:00,177.55,USD,ATM,6011,LIQUORHUT,US,BC,LIQUORHUT BC ATM *REF 66259,0
T000125,A100172,2024-01-04T02:45:00,85.64,USD,ECOM,7011,GROCERYMART,US,NY,GROCERYMART NY ECOM *REF 41460,0
T004119,A100237,2024-01-04T03:10:00,64.14,USD,ECOM,4789,HOTELINN,US,NJ,HOTELINN NJ ECOM *REF 93605,0
T003376,A100054,2024-01-04T04:11:00,1.5,USD,ECOM,6011,GENSTORE,US,TX,GENSTORE TX ECOM *REF 99344,0
T001653,A100022,2024-01-04T06:31:00,5.95,USD,P2P,5411,LIQUORHUT,CA,NJ,LIQUORHUT NJ P2P *REF 12668,0
T003196,A100189,2024-01-04T09:49:00,80.7,USD,ECOM,4789,GROCERYMART,US,NY,GROCERYMART NY ECOM *REF 49113,0
T002991,A100249,2024-01-04T13:15:00,3.97,USD,POS,4111,ATM*WITHDRAW,US,ON,ATM*WITHDRAW ON POS *REF 30342,0
T000326,A100201,2024-01-04T15:31:00,34.63,USD,POS,4789,CAFEBEAN,CA,CA,CAFEBEAN CA POS *REF 22972,0
T002916,A100217,2024-01-04T17:09:00,47.84,USD,ECOM,6011,GENSTORE,US,NY,GENSTORE NY ECOM *REF 87492,0
T000571,A100002,2024-01-04T17:47:00,26.45,USD,POS,4111,HOTELINN,CA,BC,HOTELINN BC POS *REF 23765,0
T001165,A100298,2024-01-04T20:52:00,92.39,USD,ECOM,7011,SHIP*FREIGHT,US,NY,SHIP*FREIGHT NY ECOM *REF 89915,0
T003324,A100076,2024-01-04T21:08:00,112.96,USD,POS,5812,ELECTROHUB,US,ON,ELECTROHUB ON POS *REF 96139,0
T000152,A100199,2024-01-04T21:50:00,4.12,USD,ECOM,5411,CAFEBEAN,US,TX,CAFEBEAN TX ECOM *REF 70737,0
T000296,A100185,2024-01-04T21:56:00,39.45,USD,ECOM,5732,GENSTORE,US,ON,GENSTORE ON ECOM *REF 30695,0
T000917,A100239,2024-01-04T22:12:00,6.21,USD,POS,6011,ATM*WITHDRAW,US,QC,ATM*WITHDRAW QC POS *REF 66058,0
T002630,A100065,2024-01-04T22:29:00,69.78,USD,POS,5921,CAFEBEAN,US,ON,CAFEBEAN ON POS *REF 75921,0
T000315,A100211,2024-01-04T22:30:00,337.09,USD,ECOM,4829,ELECTROHUB,US,QC,ELECTROHUB QC ECOM *REF 35427,1
T001317,A100274,2024-01-04T23:16:00,14.53,USD,POS,4111,ATM*WITHDRAW,US,ON,ATM*WITHDRAW ON POS *REF 97094,0
T004297,A100207,2024-01-04T23:40:00,81.35,USD,POS,5999,HOTELINN,US,NY,HOTELINN NY POS *REF 58470,0
T002189,A100101,2024-01-05T00:10:00,43.63,USD,POS,6011,HOTELINN,US,ON,HOTELINN ON POS *REF 20420,0
T002186,A100217,2024-01-05T00:25:00,78.98,USD,ECOM,4111,SHIP*FREIGHT,US,NY,SHIP*FREIGHT NY ECOM *REF 19555,0
T002306,A100074,2024-01-05T01:24:00,100.77,USD,POS,4111,SHIP*FREIGHT,US,ON,SHIP*FREIGHT ON POS *REF 44319,0
T000722,A100140,2024-01-05T01:41:00,82.47,USD,ECOM,4111,SHIP*FREIGHT,US,BC,SHIP*FREIGHT BC ECOM *REF 67910,0
T000916,A100138,2024-01-05T01:50:00,81.75,USD,ECOM,5411,LIQUORHUT,US,BC,LIQUORHUT BC ECOM *REF 83023,0
T002775,A100099,2024-01-05T03:27:00,48.93,USD,POS,5411,CAFEBEAN,CA,NY,CAFEBEAN NY POS *REF 82287,0
T000165,A100184,2024-01-05T04:48:00,43.86,USD,POS,5921,LIQUORHUT,US,TX,LIQUORHUT TX POS *REF 29761,0
T004885,A100151,2024-01-05T05:39:00,51.67,USD,ECOM,6011,ATM*WITHDRAW,CA,NJ,ATM*WITHDRAW NJ ECOM *REF 83786,0
T000232,A100041,2024-01-05T06:37:00,50.51,USD,POS,5732,HOTELINN,CA,QC,HOTELINN QC POS *REF 79112,0
T001020,A100134,2024-01-05T07:59:00,97.77,USD,ECOM,7011,ELECTROHUB,US,NJ,ELECTROHUB NJ ECOM *REF 83776,0
T003998,A100036,2024-01-05T08:10:00,69.69,USD,POS,5411,ATM*WITHDRAW,US,NJ,ATM*WITHDRAW NJ POS *REF 95046,0
T004261,A100042,2024-01-05T09:04:00,103.16,USD,ECOM,5732,ELECTROHUB,US,BC,ELECTROHUB BC ECOM *REF 81422,0
T000627,A100106,2024-01-05T09:46:00,35.13,USD,ECOM,4111,SHIP*FREIGHT,US,NY,SHIP*FREIGHT NY ECOM *REF 88851,0
T004788,A100263,2024-01-05T09:55:00,7.74,USD,ATM,5411,CAFEBEAN,US,BC,CAFEBEAN BC ATM *REF 72726,0
T004349,A100125,2024-01-05T10:13:00,55.74,USD,POS,5921,ATM*WITHDRAW,US,NY,ATM*WITHDRAW NY POS *REF 35056,0
T004604,A100044,2024-01-05T11:20:00,22.72,USD,POS,5812,ATM*WITHDRAW,CA,BC,ATM*WITHDRAW BC POS *REF 71576,0
T002632,A100186,2024-01-05T14:26:00,80.85,USD,ECOM,5812,ATM*WITHDRAW,US,NY,ATM*WITHDRAW NY ECOM *REF 28947,0
T004623,A100110,2024-01-05T16:23:00,43.14,USD,ECOM,4789,GROCERYMART,US,ON,GROCERYMART ON ECOM *REF 90200,0
T001187,A100289,2024-01-05T16:52:00,33.87,USD,ECOM,5732,ATM*WITHDRAW,US,NJ,ATM*WITHDRAW NJ ECOM *REF 79219,0
T000402,A100175,2024-01-05T18:23:00,57.49,USD,ATM,5732,GENSTORE,US,QC,GENSTORE QC ATM *REF 17642,0
T003727,A100102,2024-01-05T18:54:00,50.79,USD,POS,5812,ELECTROHUB,US,NJ,ELECTROHUB NJ POS *REF 63747,0
T001859,A100112,2024-01-05T19:31:00,1.5,USD,POS,4789,CAFEBEAN,US,BC,CAFEBEAN BC POS *REF 98236,0
T004658,A100068,2024-01-05T21:14:00,53.79,USD,ECOM,6011,CAFEBEAN,US,QC,CAFEBEAN QC ECOM *REF 61772,0
T003192,A100089,2024-01-05T21:38:00,67.24,USD,POS,5411,HOTELINN,US,BC,HOTELINN BC POS *REF 55571,0
T004061,A100084,2024-01-06T00:21:00,59.34,USD,POS,5411,HOTELINN,US,NJ,HOTELINN NJ POS *REF 71926,0
T002803,A100079,2024-01-06T00:40:00,67.85,USD,ECOM,5999,GENSTORE,US,QC,GENSTORE QC ECOM *REF 13305,0
T004748,A100061,2024-01-06T04:09:00,21.16,USD,POS,4789,HOTELINN,US,BC,HOTELINN BC POS *REF 37610,0
T003903,A100152,2024-01-06T05:07:00,60.12,USD,POS,7011,UBER*TRIP,US,NY,UBER*TRIP NY POS *REF 21505,0
T003242,A100214,2024-01-06T05:23:00,142.25,USD,POS,4111,GROCERYMART,US,BC,GROCERYMART BC POS *REF 56167,0
T000540,A100203,2024-01-06T05:35:00,5.29,USD,POS,5921,UBER*TRIP,US,QC,UBER*TRIP QC POS *REF 93882,0
T004084,A100113,2024-01-06T08:48:00,87.62,USD,ECOM,4111,SHIP*FREIGHT,US,BC,SHIP*FREIGHT BC ECOM *REF 60058,0
T003940,A100187,2024-01-06T09:01:00,73.64,USD,POS,5921,SHIP*FREIGHT,US,ON,SHIP*FREIGHT ON POS *REF 21774,0
T004723,A100284,2024-01-06T11:02:00,84.47,USD,P2P,5812,GROCERYMART,US,BC,GROCERYMART BC P2P *REF 71648,0
T002205,A100126,2024-01-06T11:04:00,115.9,USD,ECOM,4789,CAFEBEAN,US,BC,CAFEBEAN BC ECOM *REF 26019,0
T002767,A100237,2024-01-06T11:11:00,33.33,USD,ECOM,5411,SHIP*FREIGHT,US,NJ,SHIP*FREIGHT NJ ECOM *REF 82322,0
T001429,A100134,2024-01-06T11:46:00,168.5,USD,POS,7011,ELECTROHUB,US,NJ,ELECTROHUB NJ POS *REF 90649,0
T001204,A100110,2024-01-06T12:14:00,26.72,USD,POS,7011,UBER*TRIP,US,ON,UBER*TRIP ON POS *REF 82646,0
T000860,A100147,2024-01-06T12:28:00,38.26,USD,ECOM,6011,ATM*WITHDRAW,US,CA,ATM*WITHDRAW CA ECOM *REF 43337,0
T004454,A100023,2024-01-06T12:33:00,28.0,USD,ECOM,5812,HOTELINN,CA,CA,HOTELINN CA ECOM *REF 10581,0
T004931,A100152,2024-01-06T13:00:00,155.41,USD,POS,5732,CAFEBEAN,US,NY,CAFEBEAN NY POS *REF 17848,0
T000796,A100165,2024-01-06T13:08:00,109.01,USD,POS,5812,HOTELINN,US,BC,HOTELINN BC POS *REF 80736,0
T001293,A100240,2024-01-06T14:18:00,41.27,USD,POS,4789,CAFEBEAN,CA,CA,CAFEBEAN CA POS *REF 18390,0
T002975,A100098,2024-01-06T15:24:00,132.24,USD,ECOM,5411,ELECTROHUB,US,NY,ELECTROHUB NY ECOM *REF 62797,0
T000921,A100092,2024-01-06T15:36:00,79.96,USD,ECOM,5732,GROCERYMART,US,QC,GROCERYMART QC ECOM *REF 34846,0
T003351,A100184,2024-01-06T16:30:00,11.24,USD,ECOM,5812,GENSTORE,US,TX,GENSTORE TX ECOM *REF 78330,0
T000173,A100079,2024-01-06T18:25:00,90.79,USD,ECOM,5999,LIQUORHUT,US,QC,LIQUORHUT QC ECOM *REF 47198,0
T000141,A100248,2024-01-06T18:53:00,37.46,USD,ECOM,4789,CAFEBEAN,US,BC,CAFEBEAN BC ECOM *REF 46153,0
T002970,A100123,2024-01-06T18:59:00,41.08,USD,POS,7011,LIQUORHUT,US,NY,LIQUORHUT NY POS *REF 93973,0
T000304,A100116,2024-01-06T22:17:00,8.82,USD,POS,5411,ATM*WITHDRAW,US,TX,ATM*WITHDRAW TX POS *REF 61051,0
T000375,A100111,2024-01-07T02:19:00,118.15,USD,ECOM,5999,ELECTROHUB,US,TX,ELECTROHUB TX ECOM *REF 41846,1
T004130,A100165,2024-01-07T02:50:00,108.38,USD,ECOM,5999,ELECTROHUB,US,BC,ELECTROHUB BC ECOM *REF 76193,0
T001248,A100143,2024-01-07T03:01:00,58.06,USD,POS,4111,SHIP*FREIGHT,US,NJ,SHIP*FREIGHT NJ POS *REF 73865,0
T002125,A100250,2024-01-07T03:11:00,36.89,USD,POS,7011,ATM*WITHDRAW,US,QC,ATM*WITHDRAW QC POS *REF 21236,0
T002127,A100089,2024-01-07T03:40:00,3.39,USD,ECOM,6011,CAFEBEAN,US,BC,CAFEBEAN BC ECOM *REF 50881,0
T004451,A100134,2024-01-07T05:38:00,40.8,USD,ECOM,7011,CAFEBEAN,US,NJ,CAFEBEAN NJ ECOM *REF 71161,0
T004620,A100165,2024-01-07T05:43:00,143.09,USD,POS,6011,ELECTROHUB,US,BC,ELECTROHUB BC POS *REF 96928,0
T003630,A100193,2024-01-07T06:07:00,47.47,USD,ECOM,7011,CAFEBEAN,CA,BC,CAFEBEAN BC ECOM *REF 87888,0
T002692,A100232,2024-01-07T09:04:00,29.76,USD,ECOM,5999,SHIP*FREIGHT,CA,TX,SHIP*FREIGHT TX ECOM *REF 22680,0
T001583,A100266,2024-01-07T09:09:00,56.33,USD,ECOM,4111,GENSTORE,US,BC,GENSTORE BC ECOM *REF 97319,0
T004807,A100019,2024-01-07T10:27:00,84.69,USD,POS,4789,ATM*WITHDRAW,US,NY,ATM*WITHDRAW NY POS *REF 13228,0
T004543,A100298,2024-01-07T10:31:00,27.45,USD,POS,4111,LIQUORHUT,US,NY,LIQUORHUT NY POS *REF 60593,0
T003528,A100252,2024-01-07T10:39:00,74.3,USD,POS,4111,ATM*WITHDRAW,US,QC,ATM*WITHDRAW QC POS *REF 90714,0
T000762,A100125,2024-01-07T10:55:00,112.85,USD,POS,5921,ELECTROHUB,US,NY,ELECTROHUB NY POS *REF 17783,0
T002925,A100008,2024-01-07T11:15:00,133.82,USD,ECOM,4111,ELECTROHUB,US,QC,ELECTROHUB QC ECOM *REF 64595,0
T000660,A100279,2024-01-07T13:23:00,2.61,USD,POS,4111,UBER*TRIP,CA,ON,UBER*TRIP ON POS *REF 92810,0
T004073,A100118,2024-01-07T13:23:00,103.48,USD,ECOM,4789,LIQUORHUT,US,NJ,LIQUORHUT NJ ECOM *REF 50095,0
T002553,A100273,2024-01-07T13:34:00,76.51,USD,POS,5732,HOTELINN,US,NY,HOTELINN NY POS *REF 31178,0
T003449,A100221,2024-01-07T14:41:00,61.55,USD,POS,7011,HOTELINN,US,ON,HOTELINN ON POS *REF 71339,0
T004627,A100240,2024-01-07T15:06:00,91.42,USD,POS,6011,SHIP*FREIGHT,CA,CA,SHIP*FREIGHT CA POS *REF 48257,0
T004302,A100048,2024-01-07T16:33:00,36.17,USD,ECOM,5812,SHIP*FREIGHT,US,QC,SHIP*FREIGHT QC ECOM *REF 49186,0
T003262,A100016,2024-01-07T16:42:00,8.51,USD,ECOM,5411,LIQUORHUT,US,NJ,LIQUORHUT NJ ECOM *REF 98616,0
T001354,A100179,2024-01-07T18:15:00,73.2,USD,POS,4111,GENSTORE,US,BC,GENSTORE BC POS *REF 34529,0
T002333,A100235,2024-01-07T22:45:00,93.74,USD,ECOM,7011,HOTELINN,CA,BC,HOTELINN BC ECOM *REF 85368,0
T004545,A100173,2024-01-07T23:01:00,90.62,USD,POS,6011,HOTELINN,CA,BC,HOTELINN BC POS *REF 31283,0
T003204,A100102,2024-01-07T23:35:00,115.49,USD,POS,6011,HOTELINN,US,NJ,HOTELINN NJ POS *REF 58317,0
T001363,A100282,2024-01-07T23:53:00,14.93,USD,POS,5812,LIQUORHUT,US,TX,LIQUORHUT TX POS *REF 44873,0
T002486,A100211,2024-01-08T00:00:00,92.73,USD,ECOM,7011,SHIP*FREIGHT,US,QC,SHIP*FREIGHT QC ECOM *REF 20194,0
T001481,A100150,2024-01-08T00:03:00,35.02,USD,ECOM,6011,SHIP*FREIGHT,CA,QC,SHIP*FREIGHT QC ECOM *REF 17575,0
T002211,A100215,2024-01-08T00:51:00,99.22,USD,POS,5732,CAFEBEAN,US,BC,CAFEBEAN BC POS *REF 54979,0
T001637,A100122,2024-01-08T01:02:00,96.16,USD,P2P,7011,ATM*WITHDRAW,US,BC,ATM*WITHDRAW BC P2P *REF 91913,0
T001573,A100085,2024-01-08T01:19:00,329.63,USD,ATM,4829,CRYPTO*EXCHANGE,US,BC,CRYPTO*EXCHANGE BC ATM *REF 94038,1
T003811,A100031,2024-01-08T01:25:00,24.77,USD,POS,5411,GENSTORE,CA,CA,GENSTORE CA POS *REF 11331,0
T003966,A100180,2024-01-08T01:35:00,64.97,USD,ECOM,5732,LIQUORHUT,CA,QC,LIQUORHUT QC ECOM *REF 25256,0
T001145,A100028,2024-01-08T05:07:00,50.2,USD,POS,5732,LIQUORHUT,US,TX,LIQUORHUT TX POS *REF 48209,0
T000427,A100074,2024-01-08T06:39:00,48.67,USD,POS,5411,HOTELINN,US,ON,HOTELINN ON POS *REF 72936,0
T004442,A100028,2024-01-08T07:18:00,1.87,USD,POS,4111,HOTELINN,US,TX,HOTELINN TX POS *REF 94179,0
T003053,A100105,2024-01-08T07:54:00,11.81,USD,POS,4789,HOTELINN,US,TX,HOTELINN TX POS *REF 61797,0
T001579,A100206,2024-01-08T08:02:00,75.93,USD,POS,5812,SHIP*FREIGHT,US,TX,SHIP*FREIGHT TX POS *REF 29198,0
T002982,A100245,2024-01-08T08:02:00,71.49,USD,ECOM,5921,UBER*TRIP,CA,NY,UBER*TRIP NY ECOM *REF 59432,0
T003683,A100124,2024-01-08T08:35:00,53.39,USD,POS,6011,ELECTROHUB,US,BC,ELECTROHUB BC POS *REF 81384,0
T001771,A100019,2024-01-08T09:06:00,6.22,USD,ECOM,5812,SHIP*FREIGHT,US,NY,SHIP*FREIGHT NY ECOM *REF 48639,0
T004834,A100299,2024-01-08T09:09:00,42.41,USD,ECOM,5812,GENSTORE,US,ON,GENSTORE ON ECOM *REF 12792,0
T003338,A100207,2024-01-08T09:31:00,64.7,USD,POS,5732,ATM*WITHDRAW,US,NY,ATM*WITHDRAW NY POS *REF 97060,0
T000763,A100227,2024-01-08T09:46:00,40.87,USD,POS,5732,CAFEBEAN,US,QC,CAFEBEAN QC POS *REF 79271,0
T004757,A100230,2024-01-08T10:08:00,89.03,USD,POS,5812,ATM*WITHDRAW,US,NJ,ATM*WITHDRAW NJ POS *REF 87250,0
T003769,A100198,2024-01-08T11:00:00,90.11,USD,POS,5921,GENSTORE,US,CA,GENSTORE CA POS *REF 49987,0
